SDS-Number,Product Name,Manufacturer,SDS-Number,LL Number,Chemical Component,CAS Number,% Context,Min %,Max %,Avg %,% Range,SARA 313 %
SDS-002646,Anti-TG - R1,F. Hoffmann-La Roche AG,SDS-002646,10134148,NA,NA,NA,NA,NA,NA,NA,NA
SDS-002645,Anti-TPO CalSet - Cal 1,F. Hoffmann-La Roche AG,SDS-002645,,2-Methyl-2H-Isothiazol-3-One Hydrochloride,26172-54-3,n/a,0.10%,1.00%,0.55%,>=0.1-<1%,0.00%
SDS-002647,Anti-TPO - R1,F. Hoffmann-La Roche AG,SDS-002647,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-000840,API 20 AUX,BioMerieux SA,SDS-000840,28530,NA,NA,NA,NA,NA,NA,NA,NA
SDS-000841,Api 20 E,BioMerieux SA,SDS-000841,11223,NA,NA,NA,NA,NA,NA,NA,NA
SDS-000842,Api Coryne,BioMerieux SA,SDS-000842,16101,"Tryptone, Sodium Chloride", ,n/a,0.00%,100.00%,50.00%, ,0.00%
SDS-000842,Api Coryne,BioMerieux SA,SDS-000842,16101,Barium Sulfate,7727-43-7,n/a,0.00%,100.00%,50.00%, ,0.00%
SDS-000842,Api Coryne,BioMerieux SA,SDS-000842,16101,Water,7732-18-5,n/a,0.00%,100.00%,50.00%, ,0.00%
SDS-003051,APOAT - R1(A / B),F. Hoffmann-La Roche AG,SDS-003051,,Polyethylenglycol 40000,25322-68-3,n/a,1.00%,5.00%,3.00%,>=1-<5%,0.00%
SDS-008092,APOB Flex reagent cartridge,Siemens AG,SDS-008092,,Polyethylene Glycol 135,25322-68-3,n/a,4.14%,4.14%,4.14%,4.14%,0.00%
SDS-003045,APOBT - R1 (A / B),F. Hoffmann-La Roche AG,SDS-003045,,Poly Ethylene Glycol,25322-68-3,n/a,1.00%,5.00%,3.00%,>=1-<5%,0.00%
SDS-007721,APOBT: R1 (A / B),F. Hoffmann-La Roche AG,SDS-007721,,No Hazardous Ingredients, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-008104,"APOBT, R1 (A / B)",F. Hoffmann-La Roche AG,SDS-008104,,No Hazardous Ingredients, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-005265,APTIMA Oil,"Hologic, Inc.",SDS-005265,,Polydimethylsiloxane,63148-62-9,n/a,95.00%,100.00%,97.50%,95 - 100%,0.00%
SDS-009625,Aptima Urine Specimen Collection,"Hologic, Inc.",SDS-009625,10108665,Ammonium Sulfate,7783-20-2,n/a,1.00%,5.00%,3.00%,1 - 5%,0.00%
SDS-009625,Aptima Urine Specimen Collection,"Hologic, Inc.",SDS-009625,10108665,"Lithium Hydroxide, Anhydrous",1310-65-2,Less Than (Max),0.00%,1.00%,0.50%,<1%,0.00%
SDS-002027,APTIMA Wash Solution,"Hologic, Inc.",SDS-002027,10110176,NA,NA,NA,NA,NA,NA,NA,NA
SDS-002320,APTT REAGENT,Instrumentation Laboratory Co.,SDS-002320,10091852,Organic And Inorganic Components, ,Blank (percentage not specified),0.00%,100.00%,50.00%, ,0.00%
SDS-002320,APTT REAGENT,Instrumentation Laboratory Co.,SDS-002320,10091852,2-pyridinethiol-1-oxide sodium salt (sodium omadine),3811-73-2,Less Than (Max),0.00%,0.02%,0.01%,<0.02%,0.00%
SDS-002236,APTT REAGENT,Instrumentation Laboratory Co.,SDS-002236,10110135,"1,2-dibromo-2,4-dicyanobutane (MDBGN)",35691-65-7,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-002236,APTT REAGENT,Instrumentation Laboratory Co.,SDS-002236,10110135,"1,2-dibromo-2,4-dicyanobutane (MDBGN)",35691-65-7,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-008284,AQUIOS Cleaning Agent,"Beckman Coulter, Inc.",SDS-008284,,Ethoxylated Nonylphenol,68412-54-4,Less Than (Max),0.00%,0.50%,0.25%,<0.5%,0.00%
SDS-008290,AQUIOS IMMUNO-TROL Cells,"Beckman Coulter, Inc.",SDS-008290,,Sodium Azide,26628-22-8,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-008288,AQUIOS Lysing Reagent A,"Beckman Coulter, Inc.",SDS-008288,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-008287,AQUIOS Sheath Solution,"Beckman Coulter, Inc.",SDS-008287,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-008289,AQUIOS Sodium Hypochlorite Solution,"Beckman Coulter, Inc.",SDS-008289,,Sodium Hypochlorite,7681-52-9,n/a,1.00%,10.00%,5.50%,1 - 10%,0.00%
SDS-008283,AQUIOS Tetra-1 Panel,"Beckman Coulter, Inc.",SDS-008283,,Iodoacetamide,144-48-9,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-008283,AQUIOS Tetra-1 Panel,"Beckman Coulter, Inc.",SDS-008283,,Sodium Azide,26628-22-8,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-008291,AQUIOS Tetra-2+ Panel,"Beckman Coulter, Inc.",SDS-008291,,Iodoacetamide,144-48-9,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-008291,AQUIOS Tetra-2+ Panel,"Beckman Coulter, Inc.",SDS-008291,,Sodium Azide,26628-22-8,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-008292,AQUIOUS IMMUNO-TROL Low Cells,"Beckman Coulter, Inc.",SDS-008292,,Sodium Azide,26628-22-8,Less Than (Max),0.00%,0.10%,0.05%,<0.1%,0.00%
SDS-009917,ARCHITECH Anti-HBc igM Postive Control,Abbott Laboratories,SDS-009917,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004656,ARCHITECH Anti-HBs Negative Control,Abbott Laboratories,SDS-004656,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009953,ARCHITECH Anti-HBs Positive Control 1,Abbott Laboratories,SDS-009953,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009944,ARCHITECH Anti-HBs Positive Control 2,Abbott Laboratories,SDS-009944,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007641,ARCHITECH Free T4 Microparticles,Abbott Laboratories,SDS-007641,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010147,ARCHITECH FSH Conjugate,Abboott GmbH & Co. KG,SDS-010147,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009956,ARCHITECH iCarbamazepine Calibrator B - F,Abbott Laboratories,SDS-009956,,2-Methyl-2H-Isothiazol-3-One,2682-20-4,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-009946,ARCHITECH TSH Conjugate,Abbott Laboratories,SDS-009946,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007685,ARCHITECH TSH Microparticles,Abbott Laboratories,SDS-007685,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004639,Architect AFP Calibrator A,Abbott Laboratories,SDS-004639,,2-Methyl-2H-Isothiazol-3-One,2682-20-4,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-004639,Architect AFP Calibrator A,Abbott Laboratories,SDS-004639,,5-Chloro-2-Methyl-4-Isothiazolin-3-One,55965-84-9,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-009959,ARCHITECT AFP Calibrators B - F,Abbott Laboratories,SDS-009959,,2-Methyl-2H-Isothiazol-3-One,2682-20-4,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-009959,ARCHITECT AFP Calibrators B - F,Abbott Laboratories,SDS-009959,,Reaction mass of: 5-chloro-2-methyl-4-isothiazolin-3-one and 2-methyl-2H –isothiazol-3-one (3:1),55965-84-9,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-009960,ARCHITECT AFP Conjugate,Abbott Laboratories,SDS-009960,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004640,ARCHITECT AFP Manual Diluent,Abbott Laboratories,SDS-004640,,Tris hydroxymethyl aminomethane,77-86-1,n/a,1.18%,1.18%,1.18%,1.18%,0.00%
SDS-004641,ARCHITECT AFP Microparticles,Abbott Laboratories,SDS-004641,,2-Morpholinoethanesulphonic acid,4432-31-9,n/a,2.09%,2.09%,2.09%,2.09%,0.00%
SDS-004641,ARCHITECT AFP Microparticles,Abbott Laboratories,SDS-004641,,Reaction mass of: 5-chloro-2-methyl-4-isot hiazolin-3-one [EC no. 247-500-7] and 2-methyl- 2H -isothiazol-3-one [EC no. 220-239-6] (3:1); reaction mas,55965-84-9,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
SDS-004645,ARCHITECT Anti-HBc IgM Calibrator 1,Abbott Laboratories,SDS-004645,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007607,ARCHITECT Anti-HBc IgM Calibrator 1,Abbott Laboratories,SDS-007607,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009895,ARCHITECT Anti-HBc IgM Calibrator 2,Abbott Laboratories,SDS-009895,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009896,ARCHITECT Anti-HBc IgM Calibrator 2,Abbott Laboratories,SDS-009896,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009897,ARCHITECT Anti-HBc IgM Conjugate,Abbott Laboratories,SDS-009897,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009898,ARCHITECT Anti-HBc IgM Conjugate,Abbott Laboratories,SDS-009898,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007609,ARCHITECT Anti-HBc IgM Microparticle,Abbott Laboratories,SDS-007609,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004647,ARCHITECT Anti-HBc IgM Microparticle,Abbott Laboratories,SDS-004647,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004646,ARCHITECT Anti-HBc IgM Negative Control,Abbott Laboratories,SDS-004646,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007608,ARCHITECT Anti-HBc IgM Negative Control,Abbott Laboratories,SDS-007608,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010032,ARCHITECT Anti-HBc II Assay Diluent,Abbott Laboratories,SDS-010032,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004649,ARCHITECT Anti-HBc II Calibrator 1,Abbott Laboratories,SDS-004649,,2-Methyl-2H-Isothiazol-3-One,2682-20-4,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-007611,ARCHITECT Anti-HBc II Calibrator 1,Abbott Laboratories,SDS-007611,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010031,ARCHITECT Anti-HBc II Conjugate,Abbott Laboratories,SDS-010031,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004651,ARCHITECT Anti-HBcII Control Kit,Abbott Laboratories,SDS-004651,,2-Methyl-2H-Isothiazol-3-One,2682-20-4,n/a,0.01%,0.01%,0.01%,"0,0142%",0.00%
SDS-007614,ARCHITECT Anti-HBc II Microparticles,Abbott Laboratories,SDS-007614,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007613,ARCHITECT Anti-HBc II Negative Control,Abbott Laboratories,SDS-007613,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010024,ARCHITECT Anti-HBc II Positive Control,Abbott Laboratories,SDS-010024,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004652,ARCHITECT Anti-HBcII Reagent Kit (100 Test),Abbott Laboratories,SDS-004652,,2-Methyl-2H-Isothiazol-3-One,2682-20-4,n/a,0.01%,0.01%,0.01%,"0,0144%",0.00%
SDS-010033,ARCHITECT Anti-HBc II Specimen Diluent,Abbott Laboratories,SDS-010033,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004650,ARCHITECT Anti-HBc ll Negative Control,Abbott Laboratories,SDS-004650,,2-Methyl-2H-Isothiazol-3-One,2682-20-4,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-009963,ARCHITECT Anti-HBc ll Positive Control,Abbott Laboratories,SDS-009963,,2-Methyl-2H-Isothiazol-3-One,2682-20-4,n/a,0.01%,0.01%,0.01%,0.01%,0.00%
SDS-007615,ARCHITECT Anti-HBe Calibrator 1,Abbott Laboratories,SDS-007615,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004653,ARCHITECT Anti-HBe Calibrator 1,Abbott Laboratories,SDS-004653,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010034,ARCHITECT Anti-HBe Conjugate,Abbott Laboratories,SDS-010034,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007610,ARCHITECT ANTI-HBE MICROPARTICLES,Abbott Laboratories,SDS-007610,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010035,ARCHITECT Anti-HBe Microparticles,Abbott Laboratories,SDS-010035,,"Polyvinylsulfonic Acid, Sodium Salt",25053-27-4,n/a,1.50%,1.50%,1.50%,"1,50%",0.00%
SDS-010035,ARCHITECT Anti-HBe Microparticles,Abbott Laboratories,SDS-010035,,Reaction Mass Of: 5-Chloro-2-Methyl-4-Isothiazolin-3-One [EC No. 247-500-7] And 2-Methyl-2H-Isothiazol-3-One [EC No. 220-239-6] (3:1),55965-84-9,n/a,0.00%,0.00%,0.00%,"0,0036%",0.00%
SDS-004654,ARCHITECT Anti-HBe Negative Control,Abbott Laboratories,SDS-004654,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007612,ARCHITECT Anti-HBe Negative Control,Abbott Laboratories,SDS-007612,,Sodium Azide,26628-22-8,n/a,0.10%,0.10%,0.10%,"0,10%",0.00%
SDS-009948,ARCHITECT Anti-HBe Positive Control,Abbott Laboratories,SDS-009948,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010036,ARCHITECT Anti-HBe Positive Control,Abbott Laboratories,SDS-010036,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004648,ARCHITECT Anti HBe Reagent Kit,Abbott Laboratories,SDS-004648,,Reaction Mass Of: 5-Chloro-2-Methyl-4-Isothiazolin-3-One [EC No. 247-500-7] And 2-Methyl-2H-Isothiazol-3-One [EC No. 220-239-6] (3:1),55965-84-9,n/a,0.00%,0.00%,0.00%,"0,0035%",0.00%
SDS-004655,ARCHITECT Anti-HBs Calibrator 1,Abbott Laboratories,SDS-004655,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007616,ARCHITECT Anti-HBs Calibrator 1,Abbott Laboratories,SDS-007616,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009950,ARCHITECT Anti-HBs Calibrator 2,Abbott Laboratories,SDS-009950,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009949,ARCHITECT Anti-HBs Calibrator 2,Abbott Laboratories,SDS-009949,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009951,ARCHITECT Anti-HBs Conjugate,Abbott Laboratories,SDS-009951,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009952,ARCHITECT Anti-HBs Conjugate,Abbott Laboratories,SDS-009952,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009943,ARCHITECT Anti-HBs Control Kit,Abbott Laboratories,SDS-009943,,Sodium Azide,26628-22-8,n/a,0.10%,0.10%,0.10%,0.10%,0.00%
SDS-009916,ARCHITECT ANTI-HBS IGM POSITIVE CONTROL,ABBOT GMBH & CO.KG,SDS-009916,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007618,ARCHITECT Anti-HBs Microparticles,Abbott Laboratories,SDS-007618,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004657,ARCHITECT Anti-HBs Microparticles,Abbott Laboratories,SDS-004657,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007617,ARCHITECT Anti-HBs Negative Control,Abbott Laboratories,SDS-007617,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009954,ARCHITECT Anti-HBs Positive Control 2,Abbott Laboratories,SDS-009954,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004658,ARCHITECT Anti-HCV Calibrator Kit,Abbott Laboratories,SDS-004658,,Sodium Azide,26628-22-8,n/a,0.10%,0.10%,0.10%,"0,10%",0.00%
SDS-004659,ARCHITECT Anti-HCV Control Kit,Abbott Laboratories,SDS-004659,,Sodium Azide,26628-22-8,n/a,0.10%,0.10%,0.10%,"0,10%",0.00%
SDS-004660,ARCHITECT Anti-HCV Reagent Kit,Abbott Laboratories,SDS-004660,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004662,ARCHITECT ARM Concentrated Wash Buffer,Abbott Laboratories,SDS-004662,,Sodium Azide,26628-22-8,n/a,0.90%,0.90%,0.90%,0.90%,0.00%
SDS-010040,ARCHITECT B12 Assay Diluent,Abbott Laboratories,SDS-010040,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007619,ARCHITECT B12 Calibrator A,Abbott Laboratories,SDS-007619,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010037,ARCHITECT B12 Calibrators B-F,Abbott Laboratories,SDS-010037,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010039,ARCHITECT B12 Conjugate,Abbott Laboratories,SDS-010039,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007620,ARCHITECT B12 Low and High Control,Abbott Laboratories,SDS-007620,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010038,ARCHITECT B12 Medium Control,Abbott Laboratories,SDS-010038,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007621,ARCHITECT B12 Microparticles,Abbott Laboratories,SDS-007621,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010042,ARCHITECT B12 Pretreatment Reagent 1,Abbott Laboratories,SDS-010042,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010043,ARCHITECT B12 Pretreatment Reagent 2,Abbott Laboratories,SDS-010043,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010041,ARCHITECT B12 Pretreatment Reagent 3,Abbott Laboratories,SDS-010041,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007622,ARCHITECT BNP Calibrator A,Abbott Laboratories,SDS-007622,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010025,ARCHITECT BNP Calibrator B - F,Abbott Laboratories,SDS-010025,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007624,ARCHITECT BNP COATED MICROPARTICLES,Abbott Laboratories,SDS-007624,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010044,ARCHITECT BNP Conjugate,Abbott Laboratories,SDS-010044,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007623,"ARCHITECT BNP Control L,M,N",Abbott Laboratories,SDS-007623,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010045,ARCHITECT BNP Specimen Diluent,Abbott Laboratories,SDS-010045,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007625,ARCHITECT CA 125 II Calibrator A,Abbott Laboratories,SDS-007625,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010046,ARCHITECT CA 125 II Calibrators B-F,Abbott Laboratories,SDS-010046,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010047,ARCHITECT CA 125 II Conjugate,Abbott Laboratories,SDS-010047,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007626,"ARCHITECT CA 125 II Control L, M, H",Abbott Laboratories,SDS-007626,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007627,ARCHITECT CA 125 II Microparticles,Abbott Laboratories,SDS-007627,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-009964,ARCHITECT CEA Calibrator 2,Abbott Laboratories,SDS-009964,,Citric Acid,77-92-9,n/a,1.01%,1.01%,1.01%,1.01%,0.00%
SDS-009955,ARCHITECT CEA Conjugate,Abbott Laboratories,SDS-009955,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004702,ARCHITECT CEA Microparticles,Abbott Laboratories,SDS-004702,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007628,ARCHITECT Concentrated Wash Buffer,Abbott Laboratories,SDS-007628,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010023,ARCHITECT Cortisol Conjugate,Abbott Laboratories,SDS-010023,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007629,ARCHITECT Cortisol Microparticles,Abbott Laboratories,SDS-007629,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010144,ARCHITECT Estradiol Assay Dilute,Abbott Laboratories,SDS-010144,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007630,ARCHITECT Estradiol Calibrator A,Abbott Laboratories,SDS-007630,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010048,ARCHITECT Estradiol Calibrators B - F,Abbott Laboratories,SDS-010048,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010146,ARCHITECT Estradiol Conjugate,Abbott Laboratories,SDS-010146,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007631,"ARCHITECT Estradiol Controls L,M,H",Abbott Laboratories,SDS-007631,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007632,ARCHITECT Estradiol Microparticles,Abbott Laboratories,SDS-007632,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010145,ARCHITECT Estradiol Microparticles,Abbott Laboratories,SDS-010145,,Reaction Mass Of: 5-Chloro-2-Methyl-4-Isothiazolin-3-One [EC No. 247-500-7] And 2-Methyl-2H-Isothiazol-3-One [EC No. 220-239-6] (3:1),55965-84-9,n/a,0.00%,0.00%,0.00%,"0,0029%",0.00%
SDS-007633,ARCHITECT Ferritin Calibrator 1 & 2,Abbott Laboratories,SDS-007633,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007635,ARCHITECT Ferritin Coated Microparticles,Abbott Laboratories,SDS-007635,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010049,ARCHITECT Ferritin Conjugate,Abbott Laboratories,SDS-010049,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007634,"ARCHITECT Ferritin Control L, M, H",Abbott Laboratories,SDS-007634,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-008095,ARCHITECT Free PSA Microparticals,Abbott Laboratories,SDS-008095,,Polyethylene Glycol Octylphenyl Ether,9002-93-1,n/a,0.30%,0.30%,0.30%,0.30%,0.00%
SDS-007636,ARCHITECT Free T3 Calibrator 1,Abbott Laboratories,SDS-007636,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010050,ARCHITECT Free T3 Calibrator 1,Abbott Laboratories,SDS-010050,,Sodium Azide,26628-22-8,n/a,0.19%,0.19%,0.19%,"0,1937%",0.00%
SDS-010051,ARCHITECT Free T3 Conjugate,Abbott Laboratories,SDS-010051,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007637,"ARCHITECT Free T3 Control L,M,N",Abbott Laboratories,SDS-007637,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007638,ARCHITECT Free T3 Microparticles,Abbott Laboratories,SDS-007638,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007639,ARCHITECT Free T4 Calibrator 1 & 2,Abbott Laboratories,SDS-007639,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010052,ARCHITECT Free T4 Conjugate,Abbott Laboratories,SDS-010052,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007640,"ARCHITECT Free T4 Control Low, Medium, High",Abbott Laboratories,SDS-007640,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007642,ARCHITECT FSH Calibrator 1,Abbott Laboratories,SDS-007642,,Sodium Azide,26628-22-8,n/a,0.20%,0.20%,0.20%,"0,20%",0.00%
SDS-007643,"ARCHITECT FSH Controls L,M,H",Abbott Laboratories,SDS-007643,,Sodium Azide,26628-22-8,n/a,0.19%,0.19%,0.19%,0.19%,0.00%
SDS-007644,ARCHITECT FSH Microparticles,Abbott Laboratories,SDS-007644,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010181,ARCHITECT HAVAb-IgG Assay Diluent,Abbott Laboratories,SDS-010181,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010152,ARCHITECT HAVAb-IgG Assay Diluent,Abbott Laboratories,SDS-010152,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004664,ARCHITECT HAVAb-IgG Calibrator 1,Abbott Laboratories,SDS-004664,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010182,ARCHITECT HAVAb-IgG Conjugate,Abbott Laboratories,SDS-010182,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010151,ARCHITECT HAVAb-IgG Conjugate,Abbott Laboratories,SDS-010151,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004663,ARCHITECT HAVAb-IgG Microparticle,Abbott Laboratories,SDS-004663,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007645,ARCHITECT HAVAb-IgG Microparticle,Abbott Laboratories,SDS-007645,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010184,ARCHITECT HAVAb-IgG Negative Control,Abbott Laboratories,SDS-010184,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010183,ARCHITECT HAVAb-IgG Negative Control,Abbott Laboratories,SDS-010183,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007647,ARCHITECT HAVAb-IgG Positive Control,Abbott Laboratories,SDS-007647,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004665,ARCHITECT HAVAb-IgG Positive Control,Abbott Laboratories,SDS-004665,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010185,ARCHITECT HAVAb-IgM Assay Diluent,Abbott Laboratories,SDS-010185,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010187,ARCHITECT HAVAb-IgM Assay Diluent,Abbott Laboratories,SDS-010187,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004666,ARCHITECT HAVAb-IgM Calibrator,Abbott Laboratories,SDS-004666,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010186,ARCHITECT HAVAb-IgM Conjugate,Abbott Laboratories,SDS-010186,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010188,ARCHITECT HAVAb-IgM Conjugate,Abbott Laboratories,SDS-010188,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004668,ARCHITECT HAVAb-IgM Microparticles,Abbott Laboratories,SDS-004668,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007650,ARCHITECT HAVAb-IgM Microparticles,Abbott Laboratories,SDS-007650,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010189,ARCHITECT HAVAb-IgM Negative Control,Abbott Laboratories,SDS-010189,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-010190,ARCHITECT HAVAb-IgM Negative Control,Abbott Laboratories,SDS-010190,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-007649,ARCHITECT HAVAb-IgM Positive Control,Abbott Laboratories,SDS-007649,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004667,ARCHITECT HAVAb-IgM Positive Control,Abbott Laboratories,SDS-004667,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004669,ARCHITECT HBeAg Calibrators,Abbott Laboratories,SDS-004669,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004670,ARCHITECT HBeAg Controls,Abbott Laboratories,SDS-004670,,NA,NA,NA,NA,NA,NA,NA,NA
SDS-004671,ARCHITECT HBeAg Reagent Kit,Abbott Laboratories,SDS-004671,,Polyethylene Glycol Octylphenyl Ether,9002-93-1,n/a,0.13%,0.13%,0.13%,0.13%,0.00%
SDS-004671,ARCHITECT HBeAg Reagent Kit,Abbott Laboratories,SDS-004671,,Reaction Mass Of: 5-Chloro-2-Methyl-4-Isothiazolin-3-One [EC No. 247-500-7] And 2-Methyl-2H-Isothiazol-3-One [EC No. 220-239-6] (3:1),55965-84-9,n/a,0.00%,0.00%,0.00%,0.00%,0.00%
